# ----------------------------------------
# redballoon.com.au (Office Excluded)
# New Custom Report
# 20171211-20171211
# ----------------------------------------

Minute Index,Device Category,Region,Sessions,Revenue
001250,mobile,Western Australia,1,A$0.00
001250,mobile,Auckland,1,A$0.00
001250,tablet,New South Wales,6,A$0.00
001250,tablet,Victoria,2,A$176.00
001251,desktop,Australian Capital Territory,1,A$0.00
001251,desktop,New South Wales,7,A$99.00
001251,desktop,Queensland,1,A$160.00
001251,desktop,Victoria,9,A$132.00
001251,mobile,(not set),1,A$0.00
001251,mobile,New South Wales,16,A$0.00
001251,mobile,Queensland,7,A$0.00
001251,mobile,South Australia,1,A$0.00
001251,mobile,Victoria,21,A$0.00
001251,mobile,Western Australia,1,A$0.00
001251,mobile,Auckland,1,A$0.00
001251,tablet,New South Wales,4,A$0.00
001251,tablet,Queensland,2,A$0.00
001251,tablet,Victoria,7,A$0.00
001252,desktop,New South Wales,8,A$0.00
001252,desktop,Queensland,2,A$0.00
001252,desktop,South Australia,1,A$0.00
001252,desktop,Victoria,13,A$155.00
001252,desktop,Western Australia,2,A$0.00
001252,desktop,Bay Of Plenty,1,A$0.00
001252,desktop,Bangkok,1,A$0.00
001252,desktop,California,1,A$0.00
001252,mobile,Australian Capital Territory,1,A$0.00
001252,mobile,New South Wales,23,A$0.00
001252,mobile,Queensland,10,A$0.00
001252,mobile,Tasmania,1,A$0.00
001252,mobile,Victoria,12,A$0.00
001252,mobile,Western Australia,4,A$0.00
001252,mobile,Auckland,1,A$0.00
001252,mobile,Wellington,1,A$0.00
001252,tablet,New South Wales,5,A$0.00
001252,tablet,Queensland,1,A$0.00
001252,tablet,Victoria,3,A$78.00
001252,tablet,Western Australia,1,A$0.00
001253,desktop,Tainan City,1,A$0.00
001253,desktop,Australian Capital Territory,0,A$126.00
001253,desktop,New South Wales,4,A$248.21
001253,desktop,Queensland,5,A$0.00
001253,desktop,South Australia,2,A$0.00
001253,desktop,Victoria,10,A$97.35
001253,desktop,Western Australia,1,A$0.00
001253,desktop,South Holland,1,A$0.00
001253,desktop,Auckland,1,A$0.00
001253,desktop,Bangkok,0,A$155.00
001253,mobile,Australian Capital Territory,3,A$0.00
001253,mobile,New South Wales,19,A$99.00
001253,mobile,Queensland,9,A$0.00
001253,mobile,South Australia,1,A$0.00
001253,mobile,Victoria,6,A$413.34
001253,mobile,Western Australia,2,A$0.00
001253,mobile,England,1,A$0.00
001253,mobile,Auckland,1,A$0.00
001253,mobile,New York,1,A$0.00
001253,tablet,New South Wales,8,A$0.00
001253,tablet,Queensland,1,A$0.00
001253,tablet,Victoria,6,A$0.00
001254,desktop,Australian Capital Territory,2,A$0.00
001254,desktop,New South Wales,4,A$0.00
001254,desktop,Queensland,2,A$0.00
001254,desktop,South Australia,1,A$0.00
001254,desktop,Victoria,12,A$446.00
001254,desktop,Western Australia,1,A$0.00
001254,desktop,England,1,A$0.00
001254,mobile,Australian Capital Territory,1,A$0.00
001254,mobile,New South Wales,14,A$0.00
001254,mobile,Queensland,5,A$0.00
001254,mobile,South Australia,2,A$0.00
001254,mobile,Victoria,17,A$298.00
001254,mobile,Western Australia,2,A$0.00
001254,tablet,New South Wales,4,A$0.00
001254,tablet,Queensland,2,A$0.00
001254,tablet,South Australia,1,A$0.00
001254,tablet,Victoria,3,A$0.00
001255,desktop,Australian Capital Territory,2,A$0.00
001255,desktop,New South Wales,7,A$70.00
001255,desktop,Queensland,3,A$0.00
001255,desktop,South Australia,3,A$0.00
001255,desktop,Victoria,5,A$0.00
001255,desktop,Western Australia,2,A$0.00
001255,mobile,Australian Capital Territory,0,A$310.00
001255,mobile,New South Wales,16,A$220.00
001255,mobile,Queensland,6,A$0.00
001255,mobile,South Australia,1,A$0.00
001255,mobile,Tasmania,1,A$0.00
001255,mobile,Victoria,19,A$0.00
001255,mobile,Western Australia,2,A$0.00
001255,tablet,New South Wales,2,A$0.00
001255,tablet,Queensland,2,A$0.00
001255,tablet,Victoria,3,A$170.00
001256,desktop,(not set),1,A$0.00
001256,desktop,New South Wales,8,A$0.00
001256,desktop,Queensland,3,A$0.00
001256,desktop,South Australia,2,A$0.00
001256,desktop,Victoria,10,A$0.00
001256,desktop,Western Australia,2,A$0.00
001256,mobile,Australian Capital Territory,1,A$0.00
001256,mobile,New South Wales,15,A$199.00
001256,mobile,Queensland,9,A$0.00
001256,mobile,South Australia,7,A$0.00
001256,mobile,Victoria,24,A$0.00
001256,mobile,Western Australia,1,A$0.00
001256,mobile,Waikato,1,A$0.00
001256,tablet,New South Wales,1,A$0.00
001256,tablet,Queensland,1,A$0.00
001256,tablet,Victoria,4,A$0.00
001257,desktop,Australian Capital Territory,1,A$0.00
001257,desktop,New South Wales,11,A$0.00
