Minute Index,Device Category,Region,Sessions,Revenue
16,mobile,Western Australia,3,0
16,tablet,New South Wales,1,0
16,tablet,Victoria,0,302.92
17,desktop,(not set),1,0
17,desktop,New South Wales,1,0
17,desktop,South Australia,1,0
17,desktop,Victoria,2,0
17,desktop,Western Australia,1,0
17,desktop,England,2,0
17,mobile,(not set),2,0
17,mobile,New South Wales,3,0
17,mobile,Queensland,1,0
17,mobile,Victoria,1,0
17,mobile,Western Australia,1,0
17,tablet,Victoria,1,0
17,tablet,Western Australia,1,0
18,desktop,Victoria,2,0
18,mobile,Australian Capital Territory,1,0
18,mobile,New South Wales,1,0
18,mobile,Queensland,3,0
18,mobile,South Australia,1,0
18,mobile,Victoria,4,0
18,mobile,Western Australia,5,306
18,tablet,New South Wales,1,0
18,tablet,Western Australia,1,0
19,desktop,New South Wales,1,195
19,desktop,Victoria,2,0
19,desktop,Western Australia,1,0
19,mobile,New South Wales,3,0
19,mobile,Queensland,1,0
19,mobile,South Australia,1,0
19,mobile,Victoria,2,0
19,mobile,Western Australia,5,0
19,tablet,New South Wales,1,0
19,tablet,Victoria,3,0
20,desktop,New South Wales,1,0
20,desktop,Queensland,1,0
20,desktop,Victoria,3,0
20,desktop,Western Australia,3,0
20,mobile,New South Wales,4,0
20,mobile,South Australia,1,0
20,mobile,Victoria,1,0
20,mobile,Western Australia,3,0
20,mobile,England,1,0
20,tablet,Victoria,1,0
20,tablet,Western Australia,1,0
21,desktop,New South Wales,5,0
21,desktop,Victoria,3,0
21,desktop,Western Australia,1,0
21,desktop,Florida,1,0
21,mobile,New South Wales,1,0
21,mobile,Queensland,1,0
21,mobile,South Australia,1,0
21,mobile,Victoria,5,0
21,mobile,North Carolina,1,0
21,tablet,Victoria,2,0
21,tablet,England,1,0
22,desktop,New South Wales,3,0
22,desktop,Victoria,3,0
22,desktop,Western Australia,1,0
22,desktop,England,1,0
22,mobile,New South Wales,1,0
22,mobile,Queensland,2,0
22,mobile,Victoria,3,0
22,mobile,Western Australia,4,0
22,mobile,England,1,0
22,mobile,North Carolina,1,0
22,tablet,Western Australia,1,0
23,desktop,Victoria,3,0
23,desktop,Western Australia,2,0
23,desktop,Catalonia,1,0
23,desktop,England,1,0
23,desktop,Abu Dhabi,1,0
23,mobile,New South Wales,2,0
23,mobile,Queensland,1,0
23,mobile,South Australia,2,0
23,mobile,Victoria,3,0
23,mobile,Western Australia,4,0
23,mobile,County Limerick,1,0
23,tablet,New South Wales,1,0
23,tablet,Victoria,2,0
24,desktop,New South Wales,1,0
24,desktop,Victoria,1,0
24,desktop,Virginia,1,0
24,mobile,(not set),1,0
24,mobile,New South Wales,2,0
24,mobile,Queensland,2,0
24,mobile,South Australia,1,0
24,mobile,Victoria,2,0
24,mobile,Western Australia,1,0
24,mobile,England,1,0
24,tablet,New South Wales,1,0
24,tablet,Western Australia,4,0
24,tablet,England,1,0
25,desktop,(not set),1,0
25,desktop,Queensland,1,0
25,desktop,Western Australia,0,178
25,mobile,New South Wales,2,0
25,mobile,Queensland,2,0
25,mobile,Victoria,4,0
25,mobile,Western Australia,3,0
