# ----------------------------------------
# redballoon.com.au (Office Excluded)
# New Custom Report
# 20171211-20171211
# ----------------------------------------

Minute Index,Device Category,Region,Sessions,Revenue
000604,tablet,Australian Capital Territory,3,A$0.00
000604,tablet,New South Wales,1,A$0.00
000604,tablet,Queensland,1,A$0.00
000605,desktop,Australian Capital Territory,1,A$0.00
000605,desktop,New South Wales,8,A$0.00
000605,desktop,Queensland,5,A$139.00
000605,desktop,South Australia,2,A$0.00
000605,desktop,Victoria,6,A$0.00
000605,mobile,New South Wales,7,A$0.00
000605,mobile,Queensland,2,A$0.00
000605,mobile,Victoria,5,A$0.00
000605,mobile,Ontario,1,A$0.00
000605,mobile,Karnataka,1,A$0.00
000605,mobile,Auckland,1,A$0.00
000605,tablet,New South Wales,1,A$0.00
000605,tablet,Queensland,1,A$0.00
000605,tablet,Victoria,1,A$0.00
000606,desktop,New South Wales,8,A$0.00
000606,desktop,Queensland,5,A$0.00
000606,desktop,South Australia,3,A$0.00
000606,desktop,Victoria,8,A$0.00
000606,desktop,Quebec,1,A$0.00
000606,desktop,Bay Of Plenty,1,A$0.00
000606,desktop,Waikato,1,A$0.00
000606,mobile,New South Wales,5,A$0.00
000606,mobile,Queensland,3,A$0.00
000606,mobile,South Australia,4,A$0.00
000606,mobile,Victoria,5,A$0.00
000606,mobile,Connecticut,1,A$0.00
000606,mobile,Georgia,1,A$0.00
000606,tablet,New South Wales,2,A$0.00
000606,tablet,Victoria,1,A$0.00
000607,desktop,New South Wales,10,A$0.00
000607,desktop,Queensland,2,A$0.00
000607,desktop,South Australia,2,A$0.00
000607,desktop,Victoria,6,A$0.00
000607,desktop,Auckland,2,A$0.00
000607,desktop,New Jersey,1,A$0.00
000607,mobile,New South Wales,6,A$0.00
000607,mobile,Queensland,8,A$0.00
000607,mobile,Victoria,16,A$0.00
000607,mobile,Western Australia,2,A$0.00
000607,tablet,New South Wales,1,A$0.00
000607,tablet,Queensland,1,A$0.00
000608,desktop,(not set),1,A$0.00
000608,desktop,New South Wales,8,A$0.00
000608,desktop,Queensland,4,A$0.00
000608,desktop,South Australia,2,A$0.00
000608,desktop,Victoria,16,A$0.00
000608,desktop,Western Australia,2,A$0.00
000608,desktop,Auckland,2,A$0.00
000608,desktop,Illinois,0,A$200.00
000608,mobile,New South Wales,7,A$0.00
000608,mobile,Queensland,6,A$0.00
000608,mobile,Victoria,7,A$0.00
000608,mobile,Western Australia,3,A$0.00
000608,tablet,New South Wales,1,A$0.00
000608,tablet,Victoria,1,A$0.00
000608,tablet,Andalusia,1,A$0.00
000609,desktop,New South Wales,12,A$175.00
000609,desktop,Queensland,3,A$0.00
000609,desktop,Victoria,5,A$0.00
000609,desktop,England,1,A$0.00
000609,mobile,New South Wales,8,A$355.00
000609,mobile,Queensland,3,A$0.00
000609,mobile,South Australia,2,A$0.00
000609,mobile,Victoria,3,A$0.00
000609,mobile,Western Australia,1,A$0.00
000609,mobile,North Rhine-Westphalia,1,A$0.00
000609,mobile,England,1,A$0.00
000609,mobile,Auckland,1,A$0.00
000609,tablet,New South Wales,1,A$0.00
000609,tablet,Queensland,1,A$0.00
000609,tablet,Victoria,1,A$0.00
000609,tablet,Canterbury,1,A$0.00
000610,desktop,Australian Capital Territory,3,A$0.00
000610,desktop,New South Wales,11,A$675.00
000610,desktop,Queensland,2,A$0.00
000610,desktop,Victoria,2,A$250.00
000610,mobile,New South Wales,11,A$0.00
000610,mobile,Queensland,4,A$0.00
000610,mobile,South Australia,3,A$0.00
000610,mobile,Victoria,7,A$0.00
000610,tablet,New South Wales,2,A$0.00
000610,tablet,Nova Scotia,1,A$0.00
000611,desktop,New South Wales,8,A$0.00
000611,desktop,Queensland,7,A$0.00
000611,desktop,South Australia,1,A$0.00
000611,desktop,Victoria,5,A$0.00
000611,desktop,Ontario,2,A$0.00
000611,mobile,Australian Capital Territory,1,A$0.00
000611,mobile,New South Wales,6,A$0.00
000611,mobile,Queensland,2,A$0.00
000611,mobile,South Australia,2,A$0.00
000611,mobile,Victoria,4,A$0.00
000611,mobile,England,1,A$0.00
000611,mobile,Wyoming,1,A$0.00
000611,mobile,Grand Casablanca,1,A$0.00
000611,tablet,Queensland,3,A$0.00
000611,tablet,Tasmania,1,A$0.00
000611,tablet,Western Australia,1,A$0.00
000612,desktop,New South Wales,5,A$0.00
000612,desktop,Queensland,1,A$0.00
000612,desktop,Victoria,6,A$0.00
000612,desktop,Western Australia,1,A$0.00
000612,desktop,Auckland,1,A$0.00
000612,mobile,New South Wales,6,A$0.00
000612,mobile,Queensland,5,A$0.00
000612,mobile,Victoria,8,A$85.00
000612,mobile,Western Australia,4,A$0.00
000612,tablet,Queensland,1,A$0.00
000612,tablet,Victoria,1,A$0.00
000612,tablet,Auckland,1,A$0.00
000612,tablet,Texas,1,A$0.00
000613,desktop,New South Wales,12,A$0.00
000613,desktop,Queensland,3,A$293.93
000613,desktop,South Australia,2,A$0.00
000613,desktop,Victoria,6,A$74.00
000613,desktop,Western Australia,1,A$0.00
000613,desktop,Auckland,2,A$0.00
000613,desktop,Canterbury,1,A$0.00
000613,mobile,New South Wales,10,A$0.00
000613,mobile,Queensland,8,A$0.00
000613,mobile,South Australia,1,A$0.00
000613,mobile,Victoria,6,A$0.00
000613,tablet,New South Wales,2,A$0.00
000613,tablet,Queensland,1,A$0.00
000613,tablet,Victoria,1,A$0.00
000614,desktop,(not set),1,A$0.00
000614,desktop,Australian Capital Territory,2,A$0.00
000614,desktop,New South Wales,10,A$0.00
000614,desktop,Queensland,2,A$0.00
000614,desktop,South Australia,2,A$0.00
000614,desktop,Tasmania,1,A$0.00
000614,desktop,Victoria,8,A$0.00
000614,desktop,Western Australia,2,A$0.00
000614,mobile,New South Wales,8,A$0.00
000614,mobile,Queensland,8,A$0.00
000614,mobile,Victoria,13,A$0.00
000614,mobile,Western Australia,1,A$0.00
000614,mobile,Pennsylvania,1,A$0.00
000614,tablet,Victoria,1,A$0.00
000615,desktop,Australian Capital Territory,1,A$0.00
000615,desktop,New South Wales,20,A$506.00
000615,desktop,Queensland,4,A$0.00
000615,desktop,South Australia,1,A$0.00
000615,desktop,Victoria,4,A$644.00
000615,desktop,Western Australia,2,A$0.00
000615,desktop,England,1,A$0.00
000615,desktop,District of Columbia,1,A$0.00
000615,mobile,New South Wales,10,A$0.00
000615,mobile,Queensland,2,A$0.00
000615,mobile,Victoria,9,A$529.97
000615,mobile,Western Australia,1,A$0.00
000615,tablet,New South Wales,1,A$0.00
000615,tablet,Victoria,0,A$297.00
000616,desktop,(not set),1,A$0.00
000616,desktop,New South Wales,9,A$0.00
000616,desktop,Queensland,4,A$0.00
000616,desktop,Victoria,14,A$136.77
000616,desktop,Western Australia,1,A$0.00
000616,desktop,Auckland,1,A$0.00
000616,desktop,California,1,A$0.00
000616,mobile,New South Wales,9,A$0.00
000616,mobile,Queensland,2,A$0.00
000616,mobile,Victoria,7,A$0.00
000616,tablet,(not set),1,A$0.00
000616,tablet,New South Wales,1,A$0.00
000616,tablet,Queensland,1,A$0.00
000617,desktop,(not set),2,A$0.00
000617,desktop,Australian Capital Territory,2,A$0.00
000617,desktop,New South Wales,9,A$198.00
000617,desktop,Queensland,4,A$0.00
000617,desktop,Victoria,6,A$716.00
000617,desktop,Western Australia,2,A$0.00
000617,desktop,England,1,A$0.00
000617,desktop,Auckland,1,A$0.00
000617,desktop,Wellington,1,A$0.00
000617,mobile,Australian Capital Territory,1,A$0.00
000617,mobile,New South Wales,16,A$0.00
000617,mobile,Queensland,8,A$0.00
000617,mobile,Victoria,14,A$73.00
000617,mobile,Western Australia,2,A$0.00
000617,mobile,Auckland,1,A$0.00
000617,tablet,South Australia,2,A$0.00
000617,tablet,Victoria,1,A$0.00
000617,tablet,Western Australia,1,A$0.00
000618,desktop,Australian Capital Territory,2,A$0.00
000618,desktop,New South Wales,12,A$171.00
000618,desktop,Northern Territory,1,A$0.00
000618,desktop,Queensland,1,A$0.00
000618,desktop,Tasmania,1,A$0.00
000618,desktop,Victoria,7,A$0.00
000618,desktop,England,1,A$0.00
000618,desktop,New York,1,A$0.00
000618,mobile,New South Wales,20,A$0.00
000618,mobile,Queensland,11,A$0.00
